filename, language, Markdown, JSON, JavaScript, CSS, HTML, XML, Log, comment, blank, total
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/Components/ViewButton.js, JavaScript, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/1-EditInfo.js, JavaScript, 0, 0, 54, 0, 0, 0, 0, 0, 7, 61
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/2-SelectDocType.js, JavaScript, 0, 0, 97, 0, 0, 0, 0, 0, 12, 109
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/3-AttachFiles.js, JavaScript, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/4-AttachedFiles.js, JavaScript, 0, 0, 50, 0, 0, 0, 0, 0, 9, 59
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/AttachFiles.css, CSS, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/Table.css, CSS, 0, 0, 0, 30, 0, 0, 0, 0, 10, 40
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/EditDocument.css, CSS, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/EditDocument.js, JavaScript, 0, 0, 334, 0, 0, 0, 0, 0, 28, 362
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/MyDocuments.css, CSS, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/MyDocuments.js, JavaScript, 0, 0, 96, 0, 0, 0, 0, 0, 8, 104
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/ViewDocument/ViewDocument.css, CSS, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
/home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/ViewDocument/ViewDocument.js, JavaScript, 0, 0, 110, 0, 0, 0, 0, 0, 5, 115
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/FormComponents/1-UserInformation.js, JavaScript, 0, 0, 179, 0, 0, 0, 0, 0, 17, 196
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/FormComponents/2-Groups.css, CSS, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/FormComponents/2-Groups.js, JavaScript, 0, 0, 111, 0, 0, 0, 0, 0, 13, 124
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/NewUser.css, CSS, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/NewUser.js, JavaScript, 0, 0, 144, 0, 0, 0, 0, 0, 17, 161
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/2-NewGroup/FormComponents/1-GroupInformation.js, JavaScript, 0, 0, 80, 0, 0, 0, 0, 0, 9, 89
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/2-NewGroup/FormComponents/2-AddUsersToGroup.js, JavaScript, 0, 0, 102, 0, 0, 0, 0, 1, 14, 117
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/2-NewGroup/FormComponents/3-AddDocTypes.js, JavaScript, 0, 0, 168, 0, 0, 0, 0, 0, 15, 183
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/2-NewGroup/NewGroup.js, JavaScript, 0, 0, 128, 0, 0, 0, 0, 0, 14, 142
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/EditUser.css, CSS, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/EditUser.js, JavaScript, 0, 0, 127, 0, 0, 0, 0, 0, 18, 145
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/FormComponents/1-UserInformation.js, JavaScript, 0, 0, 196, 0, 0, 0, 0, 0, 18, 214
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/FormComponents/2-Groups.css, CSS, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/FormComponents/2-Groups.js, JavaScript, 0, 0, 119, 0, 0, 0, 0, 0, 14, 133
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/ListOfUsers.js, JavaScript, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/EditGroup.js, JavaScript, 0, 0, 111, 0, 0, 0, 0, 0, 15, 126
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/FormComponents/1-GroupInformation.js, JavaScript, 0, 0, 80, 0, 0, 0, 0, 0, 9, 89
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/FormComponents/2-AddUsersToGroup.js, JavaScript, 0, 0, 163, 0, 0, 0, 0, 1, 17, 181
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/FormComponents/3-AddDocTypes.js, JavaScript, 0, 0, 173, 0, 0, 0, 0, 1, 15, 189
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/ListOfGroups.js, JavaScript, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/EditTableItemButton.js, JavaScript, 0, 0, 40, 0, 0, 0, 0, 1, 7, 48
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/UsersAndGroups.css, CSS, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/UsersAndGroups.js, JavaScript, 0, 0, 250, 0, 0, 0, 0, 1, 18, 269
/home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/DocTypes.css, CSS, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
